,Academic,AcademicInstitution,Accommodation,Actor,AdministrativeDivision,Airline,Airport,AirportOperator,Appellation,AppointedRole,Appointee,Appointer,Architect,ArchitectureFirmPartner,ArmedForce,ArtSeries,Astronaut,Astronomer,Athlete,AutomobileCompany,AutomotiveDesigner,Award,AwardDiscipline,AwardJudge,AwardNominee,AwardPresentingOrganization,AwardWinner,BasketballCoach,BasketballConference,BasketballPlayer,BasketballTeam,Bassist,Blog,Blogger,BoardMember,BodyOfWater,Boxer,Brand,Bridge,Broadcast,BroadcastArtist,BroadcastContent,BroadcastDistributor,Building,BuildingComplex,BuildingFunction,CandyBarManufacturer,CauseOfDeath,Celebrity,CelestialObject,Cemetery,Chancellor,Chef,ChemicalCompound,ChivalricOrderMember,CityTown,Collector,College,CollegeCoach,CollegeUniversity,Comedian,ComicBookCreator,ComicBookInker,ComicBookPenciler,ComicBookPublisher,ComicBookSeries,ComicBookWriter,ComicStripArtist,ComicStripSyndicate,Company,CompanyAdvisor,CompanyDivision,CompanyFounder,CompanyShareholder,Composer,ComputerDesigner,ComputerScientist,ConcertTour,Conductor,ConsumerProduct,Country,CricketPlayer,Criminal,Cuisine,Cyclist,DedicatedWork,Dedicatee,Dedicator,Degree,Deity,DietFollower,DisasterVictim,Disease,DiseaseCause,DiseaseOrMedicalCondition,Election,EndorsedProduct,Engine,EnglishCivilParish,EnglishMetropolitanBorough,Facility,FashionDesigner,FashionLabel,FictionalJobTitle,FictionalUniverse,FictionalUniverseCreator,FieldOfStudy,Film,FilmActor,FilmArtDirector,FilmCharacter,FilmCinematographer,FilmCompany,FilmCostumerDesigner,FilmCrewmember,FilmCritic,FilmDirector,FilmDistributor,FilmEditor,FilmFestivalFocus,FilmMusicContributor,FilmProducer,FilmProductionDesigner,FilmScreeningVenue,FilmWriter,FootballCoach,FootballCompetition,FootballLeague,FootballManager,FootballOrganization,FootballPlayer,FootballTeam,FoundingFigure,FrenchDepartment,Game,GameDesigner,GamePublisher,GeographicFeature,GermanState,GermanUrbanDistrict,Golfer,GovernmentAgency,GovernmentalBody,GovernmentalJurisdiction,Governor,Guitarist,HallOfFameInductee,HistoricPlace,Hobbyist,HockeyPlayer,HockeyTeam,HonoraryDegreeRecipient,Hospital,House,HumanLanguage,Illustrator,IndonesianCity,InfectiousDisease,Invention,Inventor,Island,ItalianComune,JapaneseDesignatedCity,JobTitle,Journal,Journalist,Judge,Kingdom,Lake,Legislature,LiterarySchoolOrMovement,Location,LondonBorough,Lyricist,Magazine,ManufacturingPlant,MartialArt,MartialArtist,Mayor,MedicalSpecialty,MedicalTreatment,MemberOfParliament,MembershipOrganization,MeteorologicalService,MilitaryCommander,MilitaryPerson,MilitaryPost,MilitaryUnit,Model,Monarch,Mountain,MountainRange,Mountaineer,Museum,MusicalAlbum,MusicalArtist,MusicalGroup,MusicalGroupMember,MusicalPerformanceRole,NaturalOrCulturalPreservationAgency,Neighborhood,Newspaper,NoblePerson,Non-ProfitOrganisation,OfficeHolder,OlympicAthlete,OlympicBiddingCity,OlympicEvent,OlympicEventCompetition,OlympicHostCity,OlympicVenue,OperaCharacter,OperaDirector,OperatingSystemDeveloper,Orchestra,OrganismClassification,Organization,OrganizationSector,PeriodicalPublisher,Person,Philosopher,Physician,PlaceWithNeighborhoods,Planet,PoliticalAppointer,PoliticalDistrict,PoliticalParty,Politician,President,ProcessorManufacturer,ProductionCompany,Profession,ProfessionalField,ProfessionalSportsTeam,ProgrammingLanguageDesigner,ProgrammingLanguageDeveloper,ProjectParticipant,ProtectedArea,Protein,Protocol,ProtocolProvider,RadioNetwork,RadioStation,RecordLabel,RecordProducer,RecordingEngineer,RecurringCompetition,RecurringEvent,Region,Religion,ReligiousLeader,ReligiousOrganization,RiskFactor,River,RocketEngineDesigner,RocketManufacturer,Saint,School,SchoolDistrict,Scientist,ScottishCouncilArea,Senator,Skyscraper,SoccerClub,Software,SoftwareDeveloper,SoftwareLicense,Songwriter,Soundtrack,SouthKoreanCity,SpaceAgency,SpacecraftManufacturer,Sport,SportsAssociation,SportsFacility,SportsLeagueAwardWinner,SportsLeagueChampionship,SportsOfficial,SportsTeam,Stadium,StarSystemBody,Station,Surgeon,Symptom,TVActor,TVChannel,TVCharacter,TVDirector,TVNetwork,TVPersonality,TVProducer,TVWriter,TelevisionStation,TennisPlayer,TennisTournamentChampion,TheaterActor,TheaterDirector,TheatricalComposer,TheatricalLyricist,TouristAttraction,TradeUnion,TransportOperator,TransportTerminus,U.S.Congressperson,USCounty,USPresident,USState,USTerritory,USVicePresident,University,VentureFundedCompany,VideoGameActor,VideoGameDesigner,VideoGameDeveloper,VideoGamePublisher,VisualArtist,Waterfall,Website,WineRegion,Wrestler,Writer
_piratepeach_,,0.435684,,,0.970973,,,,,,,0.456454,,,,,,,,,,,,,,0.435684,0.456454,,,,,,,,,,,,,,,,,,,,,,0.456454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.430013,,,,,,,,,,0.449847,,,,,,,,,,,,,,,,,,,,,,,,,0.970973,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.970973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.435684,,,,,,,,,,,0.456454,0.521126,,0.886467,0.456454,,,,,,,0.435684,,,,,,,,,,,,,0.449847,,,,,,,,,,,,,0.430013,,,,0.435684,,,,,,,,,,,,,,,,,,,0.456454,,,,,,,,,,,,,,,,,,,0.886467,,0.456454,0.521126,,,,1.612498,,,,,,,1.176814,,,
hatterfan,,,,,3.599519,,,,,,,,,,,,,,1.260774,,,,0.459496,,0.412826,,0.412826,,,,,,,,,0.467962,,,,,0.484539,,,,0.441883,,,,0.412826,,,,,,,,,,,,,,,,,,,,,0.585498,,,0.412826,,,,,,,,,,,,,,,,,,,,,,,,,,0.448648,0.417927,,,,,,,,,0.412826,,,,,,,,,,0.798011,,,,,0.459496,,,,,0.403167,,2.076013,1.049636,,,,,,,,,,,,2.491476,,,,,,,,,,,,,,,,,,,,,,,,0.459496,0.467962,,,2.983394,,,,,,,,,,,,,,,,,,,,,,,,1.30395,,0.484539,,,,,,,,0.412072,0.417927,,,,,,,,,,,,,,,,,,,0.816042,,,,,,,,0.585498,,,,,,,,,,,0.484539,,,,0.798011,,,,,,,,,,,,,,0.441883,1.049636,,,,,,,,,,,,0.585498,,,1.049636,,,,,,0.412826,,,,,0.412826,0.412826,,,,,,,,,,,,,,,,,,,,0.467704,,,,,,,0.467704,,,
drseid,0.378882,,,,1.216191,,,,0.29087,,0.402062,1.106837,,,,,,,,,,,0.259366,,1.388966,,3.580216,,,,,,,,0.402062,,,,,0.588819,0.261312,,,,,0.377986,,,2.099254,,,,,,0.266925,,,,,,,,,,,,,,,,,,1.408766,,0.261312,,,,,,0.259366,,,,,,,0.268081,,,,,,,,,,,,,,,,,,,0.377986,,3.091576,0.260973,0.266925,,,,,,,,0.64015,,0.378882,,,0.259366,0.27494,,,,,,,,,,,,,,,,,,0.268081,1.73653,0.877117,,0.402062,,,,,,,,,,,,,,,,,,,,,0.259366,,0.268081,,1.73653,,0.261312,,,,,,,,,,,,0.807561,,,,,,,,,,1.070526,,0.803601,,0.268081,,,,,0.801142,,,,,,,0.402062,,,,,,,,,,0.378882,,,1.97284,0.576041,,4.409562,1.096658,,,,,,,,,,,,,0.311541,0.277278,,,,,,0.64015,,,,,,,,,,,0.378882,,0.969637,,,,,,,,,,,,,,,,,,,,,,,3.459879,,,,0.311541,0.870908,0.595968,,,,,,,,,,,,,1.793462,,1.371598,0.576041,,0.258853,,0.27443,,,,,,,0.27443,0.29087,,
salkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biibekk,,,,0.299256,0.973483,,,,,,,,,,,,,,2.695298,0.295555,0.295555,,,,0.299256,,0.901412,,,,,,,,,,,,,,,,,,,,,,0.681836,,,,,,0.290555,,0.299256,,,,,,,,,,,,,0.306699,,,,,0.299256,,,,,,0.294677,,,0.291078,,,,,,,,,,,,,,,0.301945,0.291531,,,,,,,,,1.145581,,,,,,,,0.602134,,,,,0.299256,,,,,0.354257,0.315307,1.499411,0.351642,5.874248,0.306699,,,,,,,,,,,,1.264561,0.306601,0.681836,0.38258,,,,,0.306601,,,,,,,,0.306601,,,,,,,,0.291078,,,,0.582211,,0.38258,,,,,,,,,,,,,0.301945,,,,,,,,,0.681836,,0.681836,,,,,,,,2.765255,0.291531,,,0.596622,,,,,,,,,,,,,,,,0.681952,,0.621685,,,,,,0.306699,,,,,,,,,,,0.299256,,,0.354257,,,,,,,,,,,,,,,,0.306699,,,,,,,,,,0.666949,,0.306699,0.354257,,0.306699,,,,,,1.081176,,0.306601,,,,,,,,,,,,,,,,,0.306601,,,,,,,0.297796,,,,,,,0.297796,,,
bequarius,0.460585,,,0.594332,0.459007,,,,,,,,,,,,,,,,,,,,1.889871,,1.889871,,,,,,,,0.460585,,,,,,1.453226,,,,,,,,0.875247,,,,,,,,,,,,,,,,,,,,,,,,0.436645,,0.438602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.030977,,,,,,,,0.594332,,0.459007,,1.032934,0.594332,,,0.594332,,,,,,0.594332,,,,,,,,,,,,,0.910411,,0.438602,0.594332,,,,,,,,,,,,,,,,,,,,,,,,,0.459007,,0.438602,,,,,,,,,,,,,,,,,,,,,,1.453226,,0.858894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.460585,,,,,,,,0.438602,0.438602,,,0.459007,,,,,,,,,,,0.460585,,,,,,,,0.438602,,,,,,,,,,,,,,,,,2.350456,,,0.594332,,1.491562,1.030977,,,,,,,,,,,,,,,,,,,,1.46819,,,,,,,1.060658,,,
AceHoffman,0.34941,0.406325,,,1.329949,,,,,,,0.427564,,,,,,,0.334402,,,,,,0.735094,0.83944,2.373627,,,0.334402,,,,,,,,,,,,,0.428444,,,,,,0.772297,,,,,,,,,,,,,,,,,,,,,0.796557,0.34941,,0.694143,0.433115,,,0.34941,,,,0.43864,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.101497,,,,,,,,,0.428444,0.891309,,,,,,,,,,,,,,,,,,,0.525451,,,,1.660088,0.719816,1.676738,0.366403,,,,,,,,,,,,,,,,0.525451,,0.739794,,0.363993,,,,,,,1.8554,,,,,,,,,,,,,,0.390361,,,,,,,,,,0.34941,,0.34941,,,,0.433115,,0.363442,0.366301,,,,,,,,,0.406325,,,0.433115,,,,,,,,1.184328,0.43864,,1.550629,0.817925,,,,,,0.34941,0.406325,,,,,,,,,,,,,0.891309,,,,,,,,,,,0.34941,,,,,,0.755735,,,,,,,,,,0.334402,,,,,,,,,1.49706,,,,,0.344733,0.344733,,,,,,,,,,,,,0.427564,,0.817925,0.43864,,,,1.179334,,,,,,,0.773009,0.43864,,
coralruna,,,,,0.966639,,,,0.527008,,,,,,,,,,,,,,0.442246,,0.407725,,0.436658,,,,,,,,,,,,,,,,0.436658,,,,,,,,,,,,,,,,,,0.407725,,,,,,,,,,,,0.445337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.442246,,0.407725,,,,,,,,0.893226,0.436658,,,,0.445337,,,,,,,,,,,,,,,,,,,,,,0.966639,,,,,,,,,,,,,,,0.442246,0.445337,,,,,,,,,,,,0.966639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.442246,,,,,,,,,,,,,,,,,0.966639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.407725,,,0.407725,,,0.407725,,,,,,,,,,,,,,,,0.966639,,,,1.055761,,,,,0.447889,,1.055761,0.527008,,
YuckDuck,,,,0.912282,1.459958,,,0.452914,,,,,,,,,,,,,,,,,1.371362,,2.375307,,,,,,,,,,,0.443366,,1.285553,0.926374,,0.587571,,,,,,0.910243,,,,,,,,,,,,,,,,,,,,,,,,0.45908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.469253,,,,,0.476853,2.297736,,,,,,,,,0.587571,,,0.444777,,,0.454484,,,,,,,,,,,,,,,,,,0.897056,,2.453704,,,0.444777,0.457495,,,,,,,,,,,,,,,,,,,,,,,,0.891675,,,,,,,,,,,,,,,0.439804,,,,,,,,,2.721608,0.450598,1.377965,,,,,,,,,0.56724,,,,,,,,,,,,,,,,1.379294,,,0.907398,,,,,,,,0.5114,,,,,,,,0.441997,,,,,,,,,,,,,,,,,0.56724,,,,,,,,,,,,,,,0.451798,,,,,0.5114,,,,,,2.748899,,,,0.441997,0.910243,0.45908,,,,,0.441882,,,,,,,,,0.439804,,0.452914,,,0.457495,1.629799,,,,,,,1.506941,0.454484,,
Lucas_Rotondo,,0.456799,,0.954999,0.585437,,,,,,0.231975,,,,,,,,0.251802,,,,,,1.229465,0.710463,1.495781,,,,,,,,0.601649,,,1.316326,,,0.795366,,,,,,,,1.464696,,,,,,,,,,,,,,,,,,,,,,,,0.369674,0.258786,0.243533,0.62846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.985932,,,,,,,,0.713988,,0.272669,,,1.087567,,,0.479398,,,,,,0.251802,,,,,0.258786,0.258786,,,,,,,0.993816,,0.52253,0.231975,,,,,,,,,,,,,,,,,0.258786,,,,,,,,0.585437,,0.243533,,,,,,,,,,,,,,,0.23459,,,,,,,1.291258,,1.032472,,,,0.253664,,,,,,,,,,0.231975,,1.364746,,,,,,,0.240347,,0.408379,,,0.312768,,0.231975,,0.907947,,,,,0.907947,1.364746,,,,,0.907947,,,,0.516369,,,,0.272669,,,,,,,,,,,,,0.231975,,,,1.623532,,,,,,,,,,,,,,,,,,,1.968866,,,0.231334,,0.238495,0.469829,,,,,0.237106,,,,,,,,0.231975,,,0.312768,,,,2.659414,,0.258786,1.166733,1.166733,0.239997,,1.066177,,,
MichCorsilles,,,,,2.097385,,,,0.551653,,0.385464,,,,,,,,,,,,,,1.188289,,1.573753,,,,,,,,0.385464,,,,,,,,,,,,,,1.003458,,,,,,,,,,,,,,,,,,,,,,,,0.617994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.188289,0.337102,,,,,,,,,0.782794,,,,,0.545576,,,,,,,,0.331216,,,,,,,,,,0.358241,0.358241,4.357285,,,0.385464,,,,,,,,,,,,,,,,,,,,,,,,,3.803317,,,,,,,,,,,,,,0.570295,0.424819,,,,0.354484,,,,,,,,,,,,,,,,0.545576,,,0.545576,,0.385464,,,,,,,,,,,0.545576,,0.570295,1.314591,,0.955759,0.570295,,,,,,,,,,,,,,,,,,,,0.782794,,,,,,,,,,,,,0.385464,,0.331216,,,,,,,,,,,,,,,0.331216,,,,,,1.573753,,,,,0.617994,0.617994,,,,,,,,,,,,,0.385464,,0.570295,1.314591,,,,0.35703,,,,,,,,0.551653,,
_j_ane,,,,1.387577,0.471744,,,,,,,,,,,,,,0.516378,,,,,,2.97618,,2.993521,,,,,,,,,,,,,0.478254,1.416559,,,,,,,,3.892965,,,,,,,,,,,,,,,,,,,,,0.478254,,0.439644,0.605518,,0.505205,,,,,0.439644,0.471744,,,,,,,,,,,,,,,,0.439644,,,,,,,,,,,,4.409343,,,,,,,,,,,,,,,0.565338,,,,,,,,,,,,,,,,,,,,1.037082,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.471744,,,,,,,,,,,,,,0.453286,,,,,,,,,0.479464,3.331578,,1.965807,,,,,,,,,,,,,,,,,,,,,,,,,0.565338,,,1.037082,,,,,,,,,,,,,,,,0.478254,,,,,,,,,,,,,,,,,,,,,,,,,,,0.479464,,,,,,,,,,,,,,,,3.38776,,,,0.478254,1.121896,1.070278,,,,,,,,,,,,,,,,0.471744,,,,1.282766,0.954103,,,0.439644,,,0.789807,1.037082,0.516378,
brizeemode,,,,0.968262,0.87126,,,,,,,,,,,,,,0.872216,,,,,,1.307938,,1.307938,,,,,,,,,,,0.447702,,,0.853933,,,,,,,,1.759171,,,,,,,,,,,,,,,,,,,,,,,,0.454005,,,,,,,,0.429566,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2762,,,,,,,,,,0.441694,,,0.431397,,,,,,,,,,,,,,,,,,,,,,1.287552,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87126,,,,,,,,,,,,,,,,,,,,,,,,2.409666,,1.563294,,,,,,,,0.437052,,,,,,,,0.447702,,,,,,,,,,,,0.429566,,,,0.447702,,,,,0.447702,0.447702,,,,,0.447702,,,,0.431397,,,,0.441694,,,,,,,,,,,,,,,,,0.447702,,,,,,,,,,,,,,,,,,,2.2762,,,0.539223,,1.326221,0.454005,,,,,,,,,,,,,,,,0.429566,,,,0.447702,,,0.86413,0.86413,,,,0.429566,0.872216,
jozefyuvarlak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hekthot,,,,,,,,,,,,,,,,,,,,,,,,,2.366927,,1.74777,,,,,,,,,,,,,,1.411031,,,,,,,,2.058977,,,,,,,,,,,0.318112,,,,,,,,,,,,,0.647946,0.353778,0.351197,0.353778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74777,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353778,0.353778,,,,,,,0.315745,,0.661583,,,,,,,,,,,,,,,,,,0.353778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.321648,3.011448,,1.01278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353778,,,,,,,,,,,,,,,,,,,2.374825,,,,,0.647946,0.647946,,,,,,,,,,,,,,,,,,,0.318112,0.354992,,0.353778,0.353778,0.353778,,,,,,
TonyUtweets,,0.406843,,0.298201,0.312781,,,,,,,,,,0.308018,,,,,,,,,,0.933993,0.406843,0.624816,,,,,,,,0.319626,,,,,,0.309177,,,,,,,,0.944442,,,,,,,,,,,,,,,,,,,,,,,,0.646241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.624816,,,0.376997,,,,,,,0.312781,,,0.617827,,0.294891,,,,,,,,,,,,,,,,,,,,1.280118,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.689778,,,,,,,,,,,,,,,,,,,,,,,,0.309177,,0.309177,,,,,,,,,0.294891,,,0.294891,,,,0.406843,,,,,,,,,0.294891,,,0.376997,,,,,,,,0.686563,,0.406843,,,,,,,,,,,,,0.312781,,,,,,,,,,,,,,,,0.383185,0.406843,,,,,,,,,,,,,0.686563,,,,,,0.624816,,,,,0.326615,0.326615,,,,,,,,,,,,,,,,,,,,1.451155,,,,,,,0.436211,,,
mikewalther20,,,,,1.904478,,,,,,,0.449427,,,,,,,,,,,,,0.510318,,1.938934,0.449167,,0.446769,,,,,0.486901,,,,,1.986078,,,,,,,,0.914422,0.449427,,,,,,,,,,0.449167,,,,,,,,,,,0.453238,0.453238,,,,,,,,,,,,,,,,,,,,,,0.914422,0.914422,0.914422,,,,,,,,,,,,0.445851,,0.451088,,,,,,,,,0.510318,0.793847,,,,,,,,,,0.451088,0.453238,1.378547,0.440032,,,,,,,,,,,,1.244194,,,0.449167,,,,,,,,,,,0.468571,,,,,,,,,,,,,,1.904478,,,,,,,,0.445851,,,,,,,,,,,,,,,,0.455875,0.455875,0.455875,,,,,,,,0.451088,,,,,,,,,,0.468571,,,,0.453238,,,,,0.449427,0.450347,,0.893265,0.449427,,,0.442498,,,,,,,,,,0.528101,0.450293,,,,,,0.793847,,,,0.914422,,,,,,,,,,,,,,,,,,,,,1.481214,,0.451088,,,,,,,,,0.449427,,,,1.038419,,,0.510318,0.510318,,,,,,,,,,,0.449427,,0.449427,0.450347,,,,1.182298,,,,,,,1.182298,,,
ernesto089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebel_v_Machine,,,,,1.639327,,,,,,,0.333218,,,,,,,,,,,,,,0.30867,1.000857,,,,,,,,,,,,,0.675954,0.345599,,,,,,,0.758598,0.929416,,,,,,,,,,,0.30867,,,,,,,,,,,,,0.298055,,,,,,,,,,0.344407,,,,,,,,,,0.758598,0.758598,0.758598,,,,,,,,,,,,0.416642,,,,,,,,,,,,0.358262,,,,,0.376246,,,,,,,,,,,,,,,,,,0.363855,,1.716593,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.353047,,,,,,,,0.416642,,,,,,,,,,,,,,,,0.650109,,,,,0.335584,,,,,0.298143,,,,,,0.345599,,,,,,,,,,0.34255,0.672216,,0.333218,1.062361,,0.675768,0.333218,,,,,,,,,,,,,0.369496,0.306458,,,,,,0.358262,,,,0.758598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34255,0.341956,0.929416,,,,0.369496,0.640605,0.298055,,,0.298143,0.298143,,,,,,,,,0.333218,,0.333218,0.686115,,,0.30867,0.300746,,,,,,,0.300746,0.376246,,
Troger423,,,,0.23284,0.22373,,,,,,,,,,,,,,,,,,0.237763,,0.23284,,0.341226,,,,,,,,,,,,,,,,0.341226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23284,,,,,,0.279264,,0.23284,0.341226,,,,,,0.237763,0.23284,,,,,,,,,,,,,,,,,,,0.688811,,,,,,,,,,,,,,,,,,,,,,,,0.461493,,,,0.461493,,,,,,,,,,,,0.22373,,,,,,,,,,,,0.226204,,,,,,,,,,,,,,,,,,,,,,,,,,,0.227318,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241695,,,,,,,,,,,,,,0.230294,,,,,,,,,,,,,,,,,,,,0.23284,,,,,,,,,,,,,,,,,,,,,,,,,,1.487451,,,,,,,1.188422,,,
YourKinfolkz,,0.515353,,0.447354,3.963805,,,,0.836599,,0.489213,,,,,,,,0.643439,,,,0.427494,,1.526127,1.420635,2.369019,,,,,,,,0.998011,,,,,0.500796,0.550981,,,,,,,,2.082711,,,,,,,,,,,,,,,,,,,,,0.479065,,,,0.987863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.427494,,1.925025,,0.437908,0.573272,,,,,,,0.876055,,,,,1.428947,,,,,,,,,,,,,,,,,,0.854388,,6.234901,0.466308,,0.489213,,,,,,,,,,,,,,,,,,,,,,,,,4.464355,,,,,,,,,,,,,,,,,,,,,,,,2.499976,,0.550981,,,,0.905282,,,,0.533719,0.424804,,,0.424804,,0.930018,,0.515353,,,0.479065,,,,,,2.205058,,,3.71193,,1.441406,,,,0.427494,,,,0.515353,,,,,,,,,,,,,0.876055,,,,,,,,,,,,,0.975098,,,,0.515353,,,,,,,,0.440656,,,,,,,,,,,2.021267,,,,,,,,,0.533719,0.533719,,,,,,,,,0.975098,0.518723,,2.134515,,,,1.050616,,,,,,,0.535263,1.322019,,
Venumbra,,,,,1.580244,,,,,,,0.685474,,,,,,,2.878485,,,,,,1.436248,,2.188892,,,,,,,,0.828297,,,,,,1.436248,,0.541056,,,,,,2.121722,,,,,,,,,,,,,,,,,,,,,,,,,,0.460022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.541056,0.483241,,0.460022,,,,,,,0.452723,,,4.16848,0.540128,,,,,,,,,,,,2.257281,,1.436248,,,,,,,,,,,,,,,,,,,,,,0.438862,,,,0.922103,,0.460022,,,,,,,,,,0.438862,,,,,,,,,,,,1.436248,,1.436248,,,,,,,,1.252887,,,,,,,,,,,,,,,,,1.335178,,0.685474,,,0.685474,0.685474,,,,,0.540128,,,,,,,,,,,0.460022,0.460022,,0.452723,0.483241,,,,,,,,,,,,,,,,,,,0.460022,,,,,,0.452723,,,,,0.540128,,,,,,2.58342,,,,,,,,,,,,,,,,,,,0.685474,,0.685474,,,,,1.128056,,,,,,,1.128056,,,
wunderkind87,0.554819,,,1.037728,1.448205,,,,,,0.654233,,,,,,,,,,,,,,1.405562,,3.010562,,,,,,,,0.654233,,,,,0.397839,,,,,,,,,1.316596,,,,,,0.395948,0.339771,,,,,,,,,,,,,,,,,0.334228,0.339519,,0.339519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.039068,,,,,,,,0.34536,0.397839,0.372721,,0.554819,0.693209,,0.339541,0.347849,,,,,,,,,,,0.339519,0.339519,,,,,,,2.489155,1.701125,,0.999593,,,,,,,,,,,,,,,,,0.339519,,,,,,,,1.787976,,,,,,,,,,,,,,1.164157,0.339771,,,,,,,,,1.037695,,,,,,,,,,,0.339541,,,0.339541,,0.654233,,,,,,,,,,0.554819,0.339541,,0.977495,1.075484,,5.687879,0.395948,,,,,,,,,,,,,,,,,,,,0.372721,,,,,,,,,,,0.554819,,1.845801,,,,0.339519,,,,,,,,,,,,,,,,,,,3.141183,,,0.34536,0.397839,0.664432,0.679588,0.745688,0.397839,,,0.34536,,,,,,,,2.248737,,0.395948,1.075484,,,,0.427588,,0.339519,0.339519,0.339519,,,0.427588,,,
MARTA_JALU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
